State,CDU/CSU,SPD,AfD,FDP,Linke,Grüne,Others
Baden-Württemberg,34.4,16.4,12.2,12.7,6.4,13.5,4.5
Bavaria,38.8,15.3,12.4,10.2,6.1,9.8,7.5
Berlin,22.7,17.9,12,8.9,18.8,12.6,7.0
Brandenburg,26.7,17.6,20.2,7.1,17.2,5,6.3
Bremen,25,26.3,10,9.3,13.5,11,4.3
Hamburg,27.2,23.5,7.8,10.8,12.2,13.9,4.5
Hesse,30.9,23.5,11.9,11.6,8.1,9.7,4.4
Mecklenburg-Vorpommern,33.1,15.1,18.6,6.2,17.8,4.3,4.9
Lower Saxony,34.9,27.4,9.1,9.3,6.9,8.7,3.6
North Rhine-Westphalia,32.6,26,9.4,13.1,7.5,7.6,3.8
Rhineland-Palatinate,35.9,24.2,11.2,10.4,6.8,7.6,3.9
Saarland,32.4,27.2,10.1,7.6,12.9,6,3.9
Saxony,26.9,10.5,27,8.2,16.1,4.6,6.7
Saxony-Anhalt,30.3,15.2,19.6,7.8,17.8,3.7,5.7
Schleswig-Holstein,34,23.3,8.2,12.6,7.3,12,2.7
Thuringia,28.8,13.2,22.7,7.8,16.9,4.1,6.5
