date,births,deaths
Jan 1841,254,37
Feb 1841,239,18
Mar 1841,277,12
Apr 1841,255,4
May 1841,255,2
Jun 1841,200,10
Jul 1841,190,16
Aug 1841,222,3
Sep 1841,213,4
Oct 1841,236,26
Nov 1841,235,53
Dec 1841,NA,NA
Jan 1842,307,64
Feb 1842,311,38
Mar 1842,264,27
Apr 1842,242,26
May 1842,310,10
Jun 1842,273,18
Jul 1842,231,48
Aug 1842,216,55
Sep 1842,223,41
Oct 1842,242,71
Nov 1842,209,48
Dec 1842,239,75
Jan 1843,272,52
Feb 1843,263,42
Mar 1843,266,33
Apr 1843,285,34
May 1843,246,15
Jun 1843,196,8
Jul 1843,191,1
Aug 1843,193,3
Sep 1843,221,5
Oct 1843,250,44
Nov 1843,252,18
Dec 1843,236,19
Jan 1844,244,37
Feb 1844,257,29
Mar 1844,276,47
Apr 1844,208,36
May 1844,240,14
Jun 1844,224,6
Jul 1844,206,9
Aug 1844,269,17
Sep 1844,245,3
Oct 1844,248,8
Nov 1844,245,27
Dec 1844,256,27
Jan 1845,303,23
Feb 1845,274,13
Mar 1845,292,13
Apr 1845,260,11
May 1845,296,13
Jun 1845,280,20
Jul 1845,245,15
Aug 1845,251,9
Sep 1845,237,25
Oct 1845,283,42
Nov 1845,265,29
Dec 1845,267,28
Jan 1846,336,45
Feb 1846,293,53
Mar 1846,311,48
Apr 1846,253,48
May 1846,305,41
Jun 1846,266,27
Jul 1846,252,33
Aug 1846,216,39
Sep 1846,271,39
Oct 1846,254,38
Nov 1846,297,32
Dec 1846,298,16
Jan 1847,311,10
Feb 1847,312,6
Mar 1847,305,11
Apr 1847,312,57
May 1847,294,36
Jun 1847,268,6
Jul 1847,250,3
Aug 1847,264,5
Sep 1847,262,12
Oct 1847,278,11
Nov 1847,246,11
Dec 1847,273,8
Jan 1848,283,10
Feb 1848,291,2
Mar 1848,276,0
Apr 1848,305,2
May 1848,313,3
Jun 1848,264,3
Jul 1848,269,1
Aug 1848,261,0
Sep 1848,312,3
Oct 1848,299,7
Nov 1848,310,9
Dec 1848,373,5
Jan 1849,403,9
Feb 1849,389,12
Mar 1849,406,20
